Aquarana catesbeiana
Bombina pachypus
Bombina variegata
Bufo bufo
Bufo spinosus
Bufotes viridis
Discoglossus pictus
Discoglossus sardus
Euproctus platycephalus
Hyla arborea
Hyla meridionalis
Hyla sarda
Ichthyosaura alpestris
Lissotriton vulgaris
Pelobates fuscus
Pelodytes punctatus
Pelophylax bedriagae
Pelophylax bergeri
Pelophylax kurtmuelleri
Pelophylax lessonae
Pelophylax ridibundus
Proteus anguinus
Rana dalmatina
Rana italica
Rana temporaria
Salamandra atra
Salamandra lanzai
Salamandra salamandra
Salamandrina terdigitata
Speleomantes italicus
Triturus carnifex
Xenopus laevis
