library_id	library_role	site_code	read_direction	filename	read_pairs_in_library	sha256
BAR-1	field_sample	BAR	R1	BAR-1_S88_R1_001.fastq.gz	22035	16c5cce75222d000e509635f29e5a970c7d4e151c0e59bd05b0de12a4774c634
BAR-1	field_sample	BAR	R2	BAR-1_S88_R2_001.fastq.gz	22035	a89e6d523d05c2f4de5dc1dd0e5d0c50107333908f8a348cd3db7462ebbc81cc
BAR-2	field_sample	BAR	R1	BAR-2_S89_R1_001.fastq.gz	11717	30eb941e88cf0a765b01233c5f881bb3f6fbb83b24dce14ad70054b6a4dad7dd
BAR-2	field_sample	BAR	R2	BAR-2_S89_R2_001.fastq.gz	11717	5a809562ecb55472e7bdae45d0d661c35e2a9975ddf92764f3df50d95cccff83
BAR-3	field_sample	BAR	R1	BAR-3_S90_R1_001.fastq.gz	18459	00095b30dedbb31a044e92fb0442364ef5f5c50da368471325ef92959b2f8ebf
BAR-3	field_sample	BAR	R2	BAR-3_S90_R2_001.fastq.gz	18459	cf6ab92638e14788a3aa9c312316425bfb0ccb977b11a139f6389e74bc3405d2
BAR-4	field_sample	BAR	R1	BAR-4_S91_R1_001.fastq.gz	20920	b41b09dade5b3355114c05d50020c0393fbddf513f999857f5867f7852c065dc
BAR-4	field_sample	BAR	R2	BAR-4_S91_R2_001.fastq.gz	20920	481fbf57a423737219c2ebbcf77623825e1db91606b047703644262d105393e6
BAR-5	field_sample	BAR	R1	BAR-5_S92_R1_001.fastq.gz	16675	1d34a26eebd4ce67bf36ef8d30612c7421508bffa5764af6fe08ddc54e009177
BAR-5	field_sample	BAR	R2	BAR-5_S92_R2_001.fastq.gz	16675	c4ae2b12b85d6fc3770d15fdf770feae842d2d79ee10e752de459967910b1bfd
BAR-6	field_sample	BAR	R1	BAR-6_S93_R1_001.fastq.gz	33293	592ed842b69adb48f890e868cb6397926b48c1e6d0e1cde81807c33ac405d658
BAR-6	field_sample	BAR	R2	BAR-6_S93_R2_001.fastq.gz	33293	d88a0523586eb3ab91286316bb46dd71a555de4b3ec2d195f96d14aa7344f690
BAR-bianco	field_blank	BAR	R1	BAR-bianco_S87_R1_001.fastq.gz	24895	7f244e8dc97c6b66d78700a0d9901644c71bd40c8aeb0387b48287e2df52c655
BAR-bianco	field_blank	BAR	R2	BAR-bianco_S87_R2_001.fastq.gz	24895	90fdf159ca7c9b0356e288cd9bd52ae8e69201c69e23a8994a9e51220b135aea
BIA-1	field_sample	BIA	R1	BIA-1_S130_R1_001.fastq.gz	11608	b3dd7a7f7674e10591b95ac05a8fe0fd8a9200f3544f977a5fd1e957d7b9c093
BIA-1	field_sample	BIA	R2	BIA-1_S130_R2_001.fastq.gz	11608	c02091ee5cacf3b09a5773c89bf7c9dc5b64932c1add2a2afd8b947135bbff77
BIA-2	field_sample	BIA	R1	BIA-2_S131_R1_001.fastq.gz	58173	e9ad9186bfdef5d37425430f2712ab1e17151a8e44c833e15f5766e926d12ba8
BIA-2	field_sample	BIA	R2	BIA-2_S131_R2_001.fastq.gz	58173	ea7ec58a422df21966c15922213771a73bf1408ad1247f33addf9ae10004e3c1
BIA-3	field_sample	BIA	R1	BIA-3_S132_R1_001.fastq.gz	24758	4d5f053df7556eb717e0ab879b5f1d96a8759dabd431bf1d84763929e4ee6b00
BIA-3	field_sample	BIA	R2	BIA-3_S132_R2_001.fastq.gz	24758	2127a8f1a8f6fe0a2d4737d87dd49c17c51530bd3a0dd75217b4db8bb1fc59c1
BIA-4	field_sample	BIA	R1	BIA-4_S133_R1_001.fastq.gz	181242	d891a44b3977abc53a042dace597f226bc664d3f9ce669fd16ef520e700660a2
BIA-4	field_sample	BIA	R2	BIA-4_S133_R2_001.fastq.gz	181242	d80ae5c3c00b43e29baa8eb0aae40c14353b45e328c23e38dee311edaaf8a3ee
BIA-5	field_sample	BIA	R1	BIA-5_S134_R1_001.fastq.gz	38003	fd167fc4d30c781ba69e8f19eabdceb17bd287ee9e3b0ec47ec4cb43bbc0e5bb
BIA-5	field_sample	BIA	R2	BIA-5_S134_R2_001.fastq.gz	38003	4ad915486195baeb3a19869f6abbb3b0f246d2d7b0723a4491a082c6465997e7
BIA-6	field_sample	BIA	R1	BIA-6_S135_R1_001.fastq.gz	29	e7c209ce7aff67c5e387ee76708d385e0afbc5037fbec44eae66c1d047f96b24
BIA-6	field_sample	BIA	R2	BIA-6_S135_R2_001.fastq.gz	29	7184f0105393b0622e0859ec9fa4a8ab804782c6ffd5eca62397be527b959ead
BIA-bianco	field_blank	BIA	R1	BIA-bianco_S129_R1_001.fastq.gz	24520	a037ed9f7b9f02d010152ffea52302edce56a2bffb071ebd715a413effdf3cdf
BIA-bianco	field_blank	BIA	R2	BIA-bianco_S129_R2_001.fastq.gz	24520	c703c3a38ca2edba2da07d6123d526456c6ade16e3ab40b013cf32ccd6d66106
BlnkPCR1_Innatura	pcr_negative_control		R1	BlnkPCR1_Innatura_S86_R1_001.fastq.gz	15276	686e00557fddf21f2c0e9f32199bc96ca7f2b32c1c796f7287fc5986e41c23c6
BlnkPCR1_Innatura	pcr_negative_control		R2	BlnkPCR1_Innatura_S86_R2_001.fastq.gz	15276	864126da74521dec81101165c7555c673cdbbdefb48fece18c15be87c7d1f353
BlnkPCR2A_Innatura	pcr_negative_control		R1	BlnkPCR2A_Innatura_S144_R1_001.fastq.gz	22243	75c09095424e62564dcb350a56b5f54d6afd0973c2439c6bc151ce20b74c8dfe
BlnkPCR2A_Innatura	pcr_negative_control		R2	BlnkPCR2A_Innatura_S144_R2_001.fastq.gz	22243	2f559a0890ce5dfe54a1bd54ee2581577892e05563fa8bb66c4d2080d820a614
BlnkPCR2B_Innatura	pcr_negative_control		R1	BlnkPCR2B_Innatura_S146_R1_001.fastq.gz	25773	f39e193506d5ba73a8df9ec93d1596e6635aa770e453de1ebec84789c7e32a05
BlnkPCR2B_Innatura	pcr_negative_control		R2	BlnkPCR2B_Innatura_S146_R2_001.fastq.gz	25773	029d9d9fec6fcc7fcfd97b11002c27cf72ee4f8464e9b7a757ebedc9b9e733e8
CANA-1	field_sample	CANA	R1	CANA-1_S72_R1_001.fastq.gz	49450	3ffc43102c4e1a9859799df3ee0412adba948e557e70c12933a49b4d5d3f6c3f
CANA-1	field_sample	CANA	R2	CANA-1_S72_R2_001.fastq.gz	49450	858077108ecd5c04c3e26b3a27c9baecdcdfe3135fbfa467ef4754cb64a76651
CANA-2	field_sample	CANA	R1	CANA-2_S73_R1_001.fastq.gz	22012	bc1946bdd13cf854bac4b9b7ee3498a0651052494e569e243d0169d58e736596
CANA-2	field_sample	CANA	R2	CANA-2_S73_R2_001.fastq.gz	22012	cf9c272d4c47d482cb29e017962df4b052a85bb71c5a7a5e9279fb48d39f4318
CANA-3	field_sample	CANA	R1	CANA-3_S74_R1_001.fastq.gz	26598	8d05501ac8578bd9e2b174a02a60b9814a560dcd378ee2a8eeb0c84a49cbdd1b
CANA-3	field_sample	CANA	R2	CANA-3_S74_R2_001.fastq.gz	26598	a57a44b025a895e4e43cd9d29e76de2e05d18b7bd4b9e5cc39ce31b94419ad85
CANA-4	field_sample	CANA	R1	CANA-4_S75_R1_001.fastq.gz	33712	ddf75773af74151dc4bcca7d63d648b3d92b8372f3d9590578e7f4b3d9c4d2c2
CANA-4	field_sample	CANA	R2	CANA-4_S75_R2_001.fastq.gz	33712	7f8c8b7889a59de8abb95f3fb53bae341cbb5f42cd5c8d3cad0eae4fdcb646b8
CANA-5	field_sample	CANA	R1	CANA-5_S76_R1_001.fastq.gz	17637	ca07317fbfc162fc1414bfc5ff9784359a0afb135109fe2a46dbdf650daa902f
CANA-5	field_sample	CANA	R2	CANA-5_S76_R2_001.fastq.gz	17637	e6ebfcc6c40bf0e9681adc7db74e7a149ebb5a1d374a47e662298464f0c218f8
CANA-6	field_sample	CANA	R1	CANA-6_S77_R1_001.fastq.gz	20007	beca24a9cce3e455296b68edd798d2e6c1eb9c728a663da58ac8e47d00fa0257
CANA-6	field_sample	CANA	R2	CANA-6_S77_R2_001.fastq.gz	20007	889ea1cbef0ad14da5dbf8f34c685d1497576c14d0fa1511c117bf37ec77ecbd
CANA-bianco	field_blank	CANA	R1	CANA-bianco_S71_R1_001.fastq.gz	35863	fd48666bcf150908d30a3f3023ef8187f5cf4eabd542ed6779c5b96056449926
CANA-bianco	field_blank	CANA	R2	CANA-bianco_S71_R2_001.fastq.gz	35863	55840b1254f0802931f41ce9d421f49725f3b7442959b09b92d77e56665060cf
FRA-1	field_sample	FRA	R1	FRA-1_S95_R1_001.fastq.gz	27143	944f647bf67d361291a1401192d0e05d4ecd436e8a82f90f630b30952bcdec7f
FRA-1	field_sample	FRA	R2	FRA-1_S95_R2_001.fastq.gz	27143	3fd7516ad28467b4c6030b71f06ebdc12bcfaefb8a250655c82eaafe30e31152
FRA-2	field_sample	FRA	R1	FRA-2_S96_R1_001.fastq.gz	28363	884b2dcce0ecd49680987b52dcb08798a098835ba4903c95a9068d773e515798
FRA-2	field_sample	FRA	R2	FRA-2_S96_R2_001.fastq.gz	28363	7dc970d8a1ec6e69feaf94ea6d64c63df14845e2ae045f843f77c4e8f77ea30a
FRA-3	field_sample	FRA	R1	FRA-3_S97_R1_001.fastq.gz	32486	c46163edad61efb98394628f0121947ab6a01422480081e5bc7bf3d01395f7b8
FRA-3	field_sample	FRA	R2	FRA-3_S97_R2_001.fastq.gz	32486	e85b48627f0039034009f6c882683180f8dc040438396400764db287b896dec1
FRA-4	field_sample	FRA	R1	FRA-4_S98_R1_001.fastq.gz	49992	f31b65095fc46e5a6e8f30abbb0c42fbfa09a874fcb5a8de46ae332304b2952b
FRA-4	field_sample	FRA	R2	FRA-4_S98_R2_001.fastq.gz	49992	7a40a2b67a633764ca9eceed18da149873ccf883fa6be3b054ece6bb07d4b895
FRA-5	field_sample	FRA	R1	FRA-5_S99_R1_001.fastq.gz	37206	d0fdab56f5f3170a1b20b850f86dd72529eedf1b18af0ba97e7913e6891d7502
FRA-5	field_sample	FRA	R2	FRA-5_S99_R2_001.fastq.gz	37206	7089d70488a9d1f2ea7b9b244915477f36e518ea4f340cb5adb416d9e88d3e93
FRA-6	field_sample	FRA	R1	FRA-6_S100_R1_001.fastq.gz	59269	1208da1735f2fa7807b07895c3e90df5a0216c4f2b22ce8338188ddae8485364
FRA-6	field_sample	FRA	R2	FRA-6_S100_R2_001.fastq.gz	59269	04f720ffd053442cfa6149c20b10f63fa40d9741bdd03071e9c213814cbca266
FRA-bianco	field_blank	FRA	R1	FRA-bianco_S94_R1_001.fastq.gz	33453	f77cd9c63381a07170c1d02abb38493d7d6a52f8b47ce170f20d82584fb0cf3c
FRA-bianco	field_blank	FRA	R2	FRA-bianco_S94_R2_001.fastq.gz	33453	48a379b67162f5729f63db1a05ec738329762a04b1f7197c99fffd8675615c67
MER-1	field_sample	MER	R1	MER-1_S23_R1_001.fastq.gz	41105	3a14c7cdc6ec19347c940d7835e5a7d66c4c97a59fb203732e3f7b1a465ed579
MER-1	field_sample	MER	R2	MER-1_S23_R2_001.fastq.gz	41105	053e41ce440ca804b3f4aeee91abf7419d46fea2ee23b5a38f67a40decb1d6db
MER-2	field_sample	MER	R1	MER-2_S24_R1_001.fastq.gz	35762	46da2a0b45703f06000dc9714a35f9c81bea62c49f3bc13ed437bed3328369f6
MER-2	field_sample	MER	R2	MER-2_S24_R2_001.fastq.gz	35762	8ecff4cb500749a284eec75f9dfd6906c5a3f248cc3f172633404c225116828a
MER-3	field_sample	MER	R1	MER-3_S25_R1_001.fastq.gz	34948	b1f7dbe11e5ab9668c5aafa1ac3a92851089c5f54169c8a787d7e84a21284b3b
MER-3	field_sample	MER	R2	MER-3_S25_R2_001.fastq.gz	34948	b73fc2b440f487b01532f17f91f30d2ce8e09b2f4a97efb512e5f644eb7b683b
MER-4	field_sample	MER	R1	MER-4_S26_R1_001.fastq.gz	36756	66327fd5b6710eded5949c40327cb527e9700f95b92aaaea20d19f3b8f7e549c
MER-4	field_sample	MER	R2	MER-4_S26_R2_001.fastq.gz	36756	61aab6554aedd0918453a40fa36eeffa101f450f7de813b1f371e2d0df89c963
MER-5	field_sample	MER	R1	MER-5_S27_R1_001.fastq.gz	31175	be2ba9db314d92b89cd967f4f6e6778f7a92efc276bd26f8cab6af39032cf8fe
MER-5	field_sample	MER	R2	MER-5_S27_R2_001.fastq.gz	31175	0d4bcd56633dce012954355c584018fb0bcee4f642455bb83f5478d8b48d2994
MER-6	field_sample	MER	R1	MER-6_S28_R1_001.fastq.gz	26564	20d2fd50d320ade3b168463ee1aedd4821794316ea3cf96b362ba333cba8c4ac
MER-6	field_sample	MER	R2	MER-6_S28_R2_001.fastq.gz	26564	4715a2ad5f37021287b38b86ab56bfa5643e35906d27dde1f2b13a829cb461d3
MER-bianco	field_blank	MER	R1	MER-bianco_S22_R1_001.fastq.gz	40180	13054d216432ec946b3e5e1bf7fb5ce74d71995b0d00437a07419b92f13b9335
MER-bianco	field_blank	MER	R2	MER-bianco_S22_R2_001.fastq.gz	40180	5e6a2c5280ae8d6cbf055c195f02b73e59de443475e458ece83211ee6f1f0db1
NOV-1	field_sample	NOV	R1	NOV-1_S102_R1_001.fastq.gz	29787	c16021456bb810cd6e397f48607274201aeccd34e88a59297fc2d19fde7c880f
NOV-1	field_sample	NOV	R2	NOV-1_S102_R2_001.fastq.gz	29787	cd3b49aef111a7aadf6cdaf13048b223f9f6f9fcb9ca068b265f9f117cb34cf9
NOV-2	field_sample	NOV	R1	NOV-2_S103_R1_001.fastq.gz	33348	9763f7c54d9ed839b156baafcaa260c91f63e16c31ffeb996a01934aa307c13c
NOV-2	field_sample	NOV	R2	NOV-2_S103_R2_001.fastq.gz	33348	3353cb170f8e428e328935e7b611b4f7a06135d15b6132014d92dedb2cf96e7a
NOV-3	field_sample	NOV	R1	NOV-3_S104_R1_001.fastq.gz	25636	f27d0d78535ac3f3c837ad4c1aea40df8063cae1de833bcf1dd61c2b05925412
NOV-3	field_sample	NOV	R2	NOV-3_S104_R2_001.fastq.gz	25636	c7ba31b33097cccf7d38084aaa0fb8d40b2d4e853f8a1efc283b66c4e84433c1
NOV-4	field_sample	NOV	R1	NOV-4_S105_R1_001.fastq.gz	36367	3d5601c71886abb44904492617e9a371e75e34d2c96528e28c30327bc0ab534d
NOV-4	field_sample	NOV	R2	NOV-4_S105_R2_001.fastq.gz	36367	90ab83a750e35f58c55ec0a27f8ed2211ee03201f9ba42922905c534a70c8785
NOV-5	field_sample	NOV	R1	NOV-5_S106_R1_001.fastq.gz	47967	c2e7148d2fece52dc8177bd9cb83b3796d6cf942d110b799fbfea11547e0a2e3
NOV-5	field_sample	NOV	R2	NOV-5_S106_R2_001.fastq.gz	47967	37576f90c7bbde8180925bedbf4d68522de421e4394f9f762ed1c6f50e2e7568
NOV-6	field_sample	NOV	R1	NOV-6_S107_R1_001.fastq.gz	30781	226d85bfe0bc875188774417fa6aa3341de8ed18db9f96262521baa5873cf507
NOV-6	field_sample	NOV	R2	NOV-6_S107_R2_001.fastq.gz	30781	ed963ca3989d4420160833794c00fd32e52969632dd4865f3a879ffaf7334305
NOV-bianco	field_blank	NOV	R1	NOV-bianco_S101_R1_001.fastq.gz	28864	b4e068fd3c71bc9f53f890ca6dd30e61fa68137a9981866bab84a8e81c7e827e
NOV-bianco	field_blank	NOV	R2	NOV-bianco_S101_R2_001.fastq.gz	28864	dedba3cc2925a67ae7413eab5487de3e8738bccf2aa7054c5364d498fc91963b
PET-1	field_sample	PET	R1	PET-1_S51_R1_001.fastq.gz	47017	c220f8d427134164e67d7ba4c12aa987813135704351ea005822113460fe6962
PET-1	field_sample	PET	R2	PET-1_S51_R2_001.fastq.gz	47017	268cf05ce6e4acc4fc3d9d26d2292a856571fe49ae87348c2f6603c62f1e5f74
PET-2	field_sample	PET	R1	PET-2_S52_R1_001.fastq.gz	32711	3a1f7680d8fa6b50b74c32bf04525710a7b6f642851b250f9d00f2d8671c46bc
PET-2	field_sample	PET	R2	PET-2_S52_R2_001.fastq.gz	32711	aa2b8530d56dd57f707185a9e53531b83a83d178830cb07cbc7839695c58540f
PET-3	field_sample	PET	R1	PET-3_S53_R1_001.fastq.gz	43499	558710d489aa31f75ee35db9435da429d0f64ef8da56473d11015d3551bff9c1
PET-3	field_sample	PET	R2	PET-3_S53_R2_001.fastq.gz	43499	d130be2df6ac3f99a1e5f147f276d2bc6fff5db3ed9df624644e5049910f84ab
PET-4	field_sample	PET	R1	PET-4_S54_R1_001.fastq.gz	34140	f463d42943ad33e605155877fa4f678108d171ae27e7aea913a3895b70b3bbc9
PET-4	field_sample	PET	R2	PET-4_S54_R2_001.fastq.gz	34140	1daa665d58383c36f8aeeefa6754839b6dbcc08b072dba616367b9cee4c6e017
PET-5	field_sample	PET	R1	PET-5_S55_R1_001.fastq.gz	47297	746bee827d5b1500ad5f72fb65797073ba0a8101de16a03286f2feba4e04d374
PET-5	field_sample	PET	R2	PET-5_S55_R2_001.fastq.gz	47297	8961f3c09b244cb8768aea9a1117286f1f01bb8e8c4564c7a90c6cf0250749f5
PET-6	field_sample	PET	R1	PET-6_S56_R1_001.fastq.gz	40946	9fd70df4560d81b4d90caf134d905288193e3dd77a607d6630640d5b54c95f6e
PET-6	field_sample	PET	R2	PET-6_S56_R2_001.fastq.gz	40946	0e29011054ace60d4f968898ec64214d07e18ba3e22363fc50449d24dd457d61
PET-bianco	field_blank	PET	R1	PET-bianco_S50_R1_001.fastq.gz	20325	dc80a569af2edd721093ffb32c4c294aa027356f58d3c8c9f0de8cbe1ebb8fda
PET-bianco	field_blank	PET	R2	PET-bianco_S50_R2_001.fastq.gz	20325	cf6011731ae5809bf856cdf55724f5deb11b1819cb7d29f28fe1f20d68828a58
Pos1_Innatura	positive_control		R1	Pos1_Innatura_S85_R1_001.fastq.gz	59670	29fa6f5d4119ab5d6243cb2806102bf04f92dd721e5bf373aac667e08910f225
Pos1_Innatura	positive_control		R2	Pos1_Innatura_S85_R2_001.fastq.gz	59670	9fa478d83b7f25c18e6b97f44a7d2c7d9689085e615a57a1518f66acf4baa853
Pos2A_Innatura	positive_control		R1	Pos2A_Innatura_S143_R1_001.fastq.gz	18290	39fe36307957cfd94f309fc7abdd23587b1a4d210710b503698b0451f8b2fabc
Pos2A_Innatura	positive_control		R2	Pos2A_Innatura_S143_R2_001.fastq.gz	18290	e9c52a8ef62e4ee93b4d363d4965534dfcb6b3d7475f017bbf198876b98eb16d
Pos2B_Innatura	positive_control		R1	Pos2B_Innatura_S145_R1_001.fastq.gz	34736	06c5c47a6b73e519e4d6661a4b50eb7efc9de58fa80ad2e7f4c8e22f008fddba
Pos2B_Innatura	positive_control		R2	Pos2B_Innatura_S145_R2_001.fastq.gz	34736	39a902860c362100b5ae7b84a2ad2113c12ba379302cccade1aadf232b0ab9ff
STA-1	field_sample	STA	R1	STA-1_S109_R1_001.fastq.gz	41526	dca152f0cccf3542ec7d8720a23efc0b359f450880cade8bc99b253322fc9c01
STA-1	field_sample	STA	R2	STA-1_S109_R2_001.fastq.gz	41526	22ab701bafa5c92f68f0b020ca673739404bad438f8d75cf7bdf0451e361b5ab
STA-2	field_sample	STA	R1	STA-2_S110_R1_001.fastq.gz	19285	e9e0b8f966972ec36ccb0b2975c2f1485240932ae5abacd568c5f0029ffc90f0
STA-2	field_sample	STA	R2	STA-2_S110_R2_001.fastq.gz	19285	badbcb4cc1d581288a0a24a64b67b92a045a0544ae7b45077909dff9229eee61
STA-3	field_sample	STA	R1	STA-3_S111_R1_001.fastq.gz	13566	88441dfb02b09ace6f5e83ff6a26362b6b92be2f3d9d66e746e553363334e595
STA-3	field_sample	STA	R2	STA-3_S111_R2_001.fastq.gz	13566	ed4951cfc73afe9d1eed1bbe779d39b08e5e841286bb6c519c7f1fccc23f3611
STA-4	field_sample	STA	R1	STA-4_S112_R1_001.fastq.gz	25640	ef650159c30d154dab26c84334e4df8bf66400a4a407e1e01de2378a7f429fc4
STA-4	field_sample	STA	R2	STA-4_S112_R2_001.fastq.gz	25640	be59c408692e4720ec3bec095d878116503aa8bc837dff39b6ae99e06281b59d
