Group	Family	Species	IT1342806	IT1343412
Birds	Anatidae	Anas platyrhynchos	1	0
Fish	Anguillidae	Anguilla anguilla	1	1
Fish	Cyprinidae	Barbus plebejus	0	1
Amphibians	Bufonidae	Bufo bufo	1	1
Amphibians	Bufonidae	Bufo spinosus	0	1
Amphibians	Bufonidae	Bufotes viridis	1	0
Mammals	Canidae	Canis lupus	1	1
Birds	Cinclidae	Cinclus cinclus	1	1
Birds	Columbidae	Columba palumbus	1	1
Birds	Muscicapidae	Erithacus rubecula	1	0
Mammals	Gliridae	Muscardinus avellanarius	1	1
Fish	Salmonidae	Oncorhynchus sp.	1	0
Birds	Paridae	Parus major	0	1
Fish	Cyprinidae	Pseudorasbora parva	1	0
Amphibians	Ranidae	Rana italica	1	1
Fish	Cyprinidae	Rutilus sp.	1	0
Amphibians	Salamandridae	Salamandrina perspicillata	1	1
Fish	Salmonidae	Salmo sp.	1	1
Fish	Salmonidae	Salmo trutta	1	1
Fish	Cyprinidae	Squalius sp.	1	0
Birds	Turdidae	Turdus philomelos	1	0
