Family	Species	n refseq	n Batra seq	n variants	Major variant	MAX mismatch	Mismatch 3’		Max penalty score	
							Batra F	Batra R	Batra F	Batra R
Alytidae	Discoglossus pictus	24	3	2	2	0	-	-	0	0
Alytidae	Discoglossus sardus	15	6	2	4	0	-	-	0	0
Ambystomatidae	Ambystoma tigrinum	4	3	2	2	1	-	-	0	12,4
Bomibinatoridae	Bombina orientalis	134	122	15	40	0	-	-	0	0
Bomibinatoridae	Bombina pachypus	4	3	2	2	0	-	-	0	0
Bomibinatoridae	Bombina variegata	21	10	2	6	0	-	-	0	0
Bufonidae	Bufo bufo	7	4	2	3	0	-	-	0	0
Bufonidae	Bufo spinosus	5	3	1	3	1	-	-	0	5,6
Bufonidae	Bufotes viridis	39	4	3	2	0	-	-	0	0
Bufonidae	Epidalea calamita	13	5	1	5	0	-	-	0	0
Hylidae	Hyla arborea	13	3	1	3	1	-	-	0	6,95
Hylidae	Hyla meridionalis	7	3	1	3	1	-	-	0	6,95
Microhylidae	Dyscophus antongilii	4	2	1	2	2	-	-	0	25,4
Pelobatidae	Pelobates fuscus	11	3	2	2	1	yes	-	59,75	0
Pelodytidae	Pelodytes punctatus	12	5	2	3	1	yes	-	59,75	0
Pipidae	Xenopus laevis	77	10	5	5	2	-	-	0	12,55
Proteidae	Proteus anguinus	85	80	19	15	2	-	-	0	51,1
Ranidae	Aquarana catesbeiana	28	22	3	19	1	-	-	0	43,3
Ranidae	Pelophylax bedriagae	37	30	4	26	0	-	-	0	0
Ranidae	Pelophylax bergeri	4	1	1	1	0	-	-	0	0
Ranidae	Pelophylax kurtmuelleri	7	3	2	2	0	-	-	0	0
Ranidae	Pelophylax lessonae	15	6	1	6	0	-	-	0	0
Ranidae	Pelophylax ridibundus	17	4	2	3	0	-	-	0	0
Ranidae	Rana dalmatina	6	1	1	1	0	-	-	0	0
Ranidae	Rana temporaria	25	11	2	10	1	-	-	0	10,2
Salamandridae	Euproctus platycephalus	2	1	1	1	2	-	-	0	38,7
Salamandridae	Ichthyosaura alpestris	8	1	1	1	2	-	-	0	38,7
Salamandridae	Lissotriton vulgaris	7	2	2	1	2	-	-	0	51,1
Salamandridae	Salamandra atra	29	14	3	12	1	-	-	0	18,6
Salamandridae	Salamandra lanzai	6	3	1	3	1	-	-	0	18,6
Salamandridae	Salamandra salamandra	83	32	10	17	1	-	-	0	18,6
Salamandridae	Salamandrina terdigitata	13	1	1	1	1	-	-	0	12,4
Salamandridae	Triturus carnifex	3	2	1	2	1	-	-	0	12,4
Salamandridae	Triturus cristatus	5	5	1	5	1	-	-	0	12,4
