accession	initial_occurrences	passed_crabs	final_retained	manually_discarded	current_status
AB023394.1	2		0	0	not_retained_stage_unresolved_without_415_list
AB023395.1	2		0	0	not_retained_stage_unresolved_without_415_list
AB023396.1	2		0	0	not_retained_stage_unresolved_without_415_list
AB023397.1	1		0	0	not_retained_stage_unresolved_without_415_list
AB029942.1	2		0	0	not_retained_stage_unresolved_without_415_list
AB029943.1	2		0	0	not_retained_stage_unresolved_without_415_list
AB029944.1	2		0	0	not_retained_stage_unresolved_without_415_list
AB029945.1	1		0	0	not_retained_stage_unresolved_without_415_list
AB058864.1	1		0	0	not_retained_stage_unresolved_without_415_list
AB159478.1	1		0	0	not_retained_stage_unresolved_without_415_list
AB159479.1	1		0	0	not_retained_stage_unresolved_without_415_list
AB530454.1	1		1	0	retained_final_dataset
AB640897.1	1		1	0	retained_final_dataset
AB640901.1	1		1	0	retained_final_dataset
AB640902.1	1		1	0	retained_final_dataset
AB640903.1	1		1	0	retained_final_dataset
AB640904.1	1		1	0	retained_final_dataset
AB640905.1	1		1	0	retained_final_dataset
AB640906.1	1		1	0	retained_final_dataset
AB640907.1	1		1	0	retained_final_dataset
AB640908.1	1		1	0	retained_final_dataset
AB640909.1	1		1	0	retained_final_dataset
AB640910.1	1		1	0	retained_final_dataset
AB640911.1	1		1	0	retained_final_dataset
AB640915.1	1		1	0	retained_final_dataset
AB640916.1	1		1	0	retained_final_dataset
AB640917.1	1		1	0	retained_final_dataset
AB640918.1	1		1	0	retained_final_dataset
AB640919.1	1		1	0	retained_final_dataset
AB640920.1	1		1	0	retained_final_dataset
AB640921.1	1		1	0	retained_final_dataset
AB640922.1	1		1	0	retained_final_dataset
AB640923.1	1		1	0	retained_final_dataset
AB640924.1	1		1	0	retained_final_dataset
AB640925.1	1		1	0	retained_final_dataset
AB640926.1	1		1	0	retained_final_dataset
AB640927.1	1		1	0	retained_final_dataset
AB640928.1	1		1	0	retained_final_dataset
AB640929.1	1		1	0	retained_final_dataset
AB640930.1	1		1	0	retained_final_dataset
AB640931.1	1		1	0	retained_final_dataset
AB685766.1	1		1	0	retained_final_dataset
AB761267.1	1		1	0	retained_final_dataset
AF124103.1	1		0	0	not_retained_stage_unresolved_without_415_list
AF124135.1	1		0	0	not_retained_stage_unresolved_without_415_list
AF160778.1	1		0	0	not_retained_stage_unresolved_without_415_list
AF161036.1	1		0	0	not_retained_stage_unresolved_without_415_list
AF218707.1	1		0	0	not_retained_stage_unresolved_without_415_list
AF218718.1	1		0	0	not_retained_stage_unresolved_without_415_list
AF249023.1	1		1	0	retained_final_dataset
AJ002965.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ002966.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ222650.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ222652.1	2		0	0	not_retained_stage_unresolved_without_415_list
AJ222653.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ222654.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ222655.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ222656.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ222710.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ222711.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ222712.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ309138.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ309142.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ309143.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ309144.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ309145.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ318085.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ318086.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440763.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440764.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440767.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440768.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440772.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440773.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440802.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440803.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440806.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440807.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440811.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440812.1	1		0	0	not_retained_stage_unresolved_without_415_list
AJ440816.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY043032.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY043033.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY043034.1	2		0	0	not_retained_stage_unresolved_without_415_list
AY043038.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY043039.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY043041.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY043044.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY147254.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY147256.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY221119.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY221120.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY221121.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY222458.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY222459.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY322321.1	2		1	0	retained_final_dataset
AY325988.1	1		1	0	retained_final_dataset
AY326063.1	1		1	0	retained_final_dataset
AY333653.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333654.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333655.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333656.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333658.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333660.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333661.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333662.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333664.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333665.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333674.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333675.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333683.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333684.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333685.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333686.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333687.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY333688.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347450.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347451.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347452.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347453.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347454.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347455.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347456.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347457.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347458.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347459.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347460.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347461.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347463.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347466.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347467.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347469.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY347473.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY581638.1	1		1	0	retained_final_dataset
AY581639.1	1		1	0	retained_final_dataset
AY581640.1	1		1	0	retained_final_dataset
AY581641.1	1		1	0	retained_final_dataset
AY581644.1	1		1	0	retained_final_dataset
AY581648.1	1		1	0	retained_final_dataset
AY585338.1	1		1	0	retained_final_dataset
AY659992.1	1		1	0	retained_final_dataset
AY680267.1	1		1	0	retained_final_dataset
AY695906.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY695907.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY779191.1	1		1	0	retained_final_dataset
AY779206.1	1		1	0	retained_final_dataset
AY819354.1	1		1	0	retained_final_dataset
AY819370.1	1		1	0	retained_final_dataset
AY843601.1	1		1	0	retained_final_dataset
AY880461.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY880481.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY898727.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY898728.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY898729.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY898730.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY898731.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY898732.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY898733.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY928616.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY928617.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY928619.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY928620.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY928621.1	1		0	0	not_retained_stage_unresolved_without_415_list
AY957562.1	1		0	1	manually_discarded_after_crabs
AY971143.1	1		1	0	retained_final_dataset
D12694.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ019581.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ055835.1	1		1	0	retained_final_dataset
DQ092285.1	1		0	0	not_retained_stage_unresolved_without_415_list
DQ092288.1	1		0	0	not_retained_stage_unresolved_without_415_list
