Family	Species	n refseq	n Batra seq	n variants	Major variant	MAX mismatch		Mismatch 3’		Max penalty score	Max penalty score
						Batra F	Batra R	Batra F	Batra R	Batra F	Batra R
Alytidae	Discoglossus pictus	25	4	2	3	0	0	-	-	0	0
Alytidae	Discoglossus sardus	15	6	2	4	0	0	-	-	0	0
Bombinatoridae	Bombina pachypus	4	3	2	2	0	0	-	-	0	0
Bombinatoridae	Bombina variegata	22	11	2	6	0	0	-	-	0	0
Bufonidae	Bufo bufo	8	5	2	4	0	0	-	-	0	0
Bufonidae	Bufo spinosus	5	3	1	3	0	1	-	-	0	5,6
Bufonidae	Bufotes viridis	39	4	3	2	0	0	-	-	0	0
Hylidae	Hyla arborea	13	3	1	3	0	1	-	-	0	6,95
Hylidae	Hyla meridionalis	7	3	1	3	0	1	-	-	0	6,95
Hylidae	Hyla sarda	5	1	1	1	0	1	-	-	0	6,95
Pelobatidae	Pelobates fuscus	12	4	2	3	1	0	yes	-	59,75	0
Pelodytidae	Pelodytes punctatus	12	5	2	3	1	0	yes	-	59,75	0
Pipidae	Xenopus laevis	78	11	5	6	0	2	-	-	0	12,55
Plethodontidae	Speleomantes italicus	10	1	1	1	0	2	-	-	0	48,4
Proteidae	Proteus anguinus	85	80	19	15	0	2	-	-	0	51,1
Ranidae	Aquarana catesbeiana	29	23	3	20	0	1	-	-	0	43,3
Ranidae	Pelophylax bedriagae	43	30	4	26	0	0	-	-	0	0
Ranidae	Pelophylax bergeri	4	1	1	1	0	0	-	-	0	0
Ranidae	Pelophylax kurtmuelleri	7	3	2	2	0	0	-	-	0	0
Ranidae	Pelophylax lessonae	17	8	2	6	0	0	-	-	0	0
Ranidae	Pelophylax ridibundus	18	4	2	3	0	0	-	-	0	0
Ranidae	Rana dalmatina	6	1	1	1	0	0	-	-	0	0
Ranidae	Rana italica	3	1	1	1	0	0	-	-	0	0
Ranidae	Rana temporaria	27	13	3	11	0	1	-	-	0	10,2
Salamandridae	Euproctus platycephalus	2	1	1	1	0	2	-	-	0	38,7
Salamandridae	Ichthyosaura alpestris	8	1	1	1	0	2	-	-	0	38,7
Salamandridae	Lissotriton vulgaris	8	3	2	2	0	2	-	-	0	51,1
Salamandridae	Salamandra atra	29	14	3	12	0	1	-	-	0	18,6
Salamandridae	Salamandra lanzai	6	3	1	3	0	1	-	-	0	18,6
Salamandridae	Salamandra salamandra	83	32	10	17	0	1	-	-	0	18,6
Salamandridae	Salamandrina terdigitata	13	1	1	1	0	1	-	-	0	12,4
Salamandridae	Triturus carnifex	3	2	1	2	0	1	-	-	0	12,4
