query_name	accepted_name	screening_outcome	source_file	note
Ambystoma tigrinum	Ambystoma tigrinum	evaluated	data/evaluated_species_34.txt	
Bombina pachypus	Bombina pachypus	evaluated	data/evaluated_species_34.txt	
Bombina variegata	Bombina variegata	evaluated	data/evaluated_species_34.txt	
Bombina orientalis	Bombina orientalis	evaluated	data/evaluated_species_34.txt	
Bufo bufo	Bufo bufo	evaluated	data/evaluated_species_34.txt	
Bufo spinosus	Bufo spinosus	evaluated	data/evaluated_species_34.txt	
Bufotes balearicus	Bufotes balearicus	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Bufotes viridis	Bufotes viridis	evaluated	data/evaluated_species_34.txt	
Bufotes boulengeri	Bufotes boulengeri	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Bufotes siculus	Bufotes boulengeri siculus	no_sequences_retrieved	results/insilico_filtering_results/species_missing_no_sequences.txt	Original query name retained in the target list; accepted trinomial used in the revised manuscript.
Discoglossus pictus	Discoglossus pictus	evaluated	data/evaluated_species_34.txt	
Discoglossus sardus	Discoglossus sardus	evaluated	data/evaluated_species_34.txt	
Dyscophus antongilii	Dyscophus antongilii	evaluated	data/evaluated_species_34.txt	
Epidalea calamita	Epidalea calamita	evaluated	data/evaluated_species_34.txt	
Euproctus platycephalus	Euproctus platycephalus	evaluated	data/evaluated_species_34.txt	
Hyla arborea	Hyla arborea	evaluated	data/evaluated_species_34.txt	
Hyla intermedia	Hyla intermedia	incomplete_primer_binding_sites	results/insilico_filtering_results/species_incomplete_primer_sites.txt	
Hyla perrini	Hyla perrini	no_sequences_retrieved	results/insilico_filtering_results/species_missing_no_sequences.txt	
Hyla meridionalis	Hyla meridionalis	evaluated	data/evaluated_species_34.txt	
Hyla sarda	Hyla sarda	incomplete_primer_binding_sites	results/insilico_filtering_results/species_incomplete_primer_sites.txt	
Ichthyosaura alpestris	Ichthyosaura alpestris	evaluated	data/evaluated_species_34.txt	
Ichthyosaura apuana	Ichthyosaura apuana	no_sequences_retrieved	results/insilico_filtering_results/species_missing_no_sequences.txt	
Lissotriton italicus	Lissotriton italicus	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Lissotriton vulgaris	Lissotriton vulgaris	evaluated	data/evaluated_species_34.txt	
Lithobates catesbeianus	Aquarana catesbeiana	evaluated	data/evaluated_species_34.txt	Name used for the same taxon in the final evaluated-species and mismatch-result files.
Pelobates fuscus	Pelobates fuscus	evaluated	data/evaluated_species_34.txt	
Pelodytes punctatus	Pelodytes punctatus	evaluated	data/evaluated_species_34.txt	
Pelophylax esculentus	Pelophylax esculentus	no_sequences_retrieved	results/insilico_filtering_results/species_missing_no_sequences.txt	
Pelophylax lessonae	Pelophylax lessonae	evaluated	data/evaluated_species_34.txt	
Pelophylax ridibundus	Pelophylax ridibundus	evaluated	data/evaluated_species_34.txt	
Pelophylax bedriagae	Pelophylax bedriagae	evaluated	data/evaluated_species_34.txt	
Pelophylax kurtmuelleri	Pelophylax kurtmuelleri	evaluated	data/evaluated_species_34.txt	
Pelophylax bergeri	Pelophylax bergeri	evaluated	data/evaluated_species_34.txt	
Pelophylax hispanicus	Pelophylax hispanicus	no_sequences_retrieved	results/insilico_filtering_results/species_missing_no_sequences.txt	
Proteus anguinus	Proteus anguinus	evaluated	data/evaluated_species_34.txt	
Rana dalmatina	Rana dalmatina	evaluated	data/evaluated_species_34.txt	
Rana italica	Rana italica	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Rana latastei	Rana latastei	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Rana temporaria	Rana temporaria	evaluated	data/evaluated_species_34.txt	
Salamandra atra	Salamandra atra	evaluated	data/evaluated_species_34.txt	
Salamandra lanzai	Salamandra lanzai	evaluated	data/evaluated_species_34.txt	
Salamandra salamandra	Salamandra salamandra	evaluated	data/evaluated_species_34.txt	
Salamandrina perspicillata	Salamandrina perspicillata	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Salamandrina terdigitata	Salamandrina terdigitata	evaluated	data/evaluated_species_34.txt	
Speleomantes ambrosii	Speleomantes ambrosii	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Speleomantes flavus	Speleomantes flavus	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Speleomantes genei	Speleomantes genei	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Speleomantes imperialis	Speleomantes imperialis	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Speleomantes italicus	Speleomantes italicus	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Speleomantes strinatii	Speleomantes strinatii	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Speleomantes supramontis	Speleomantes supramontis	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Speleomantes sarrabusensis	Speleomantes sarrabusensis	no_batra_amplicon	results/insilico_filtering_results/species_no_batra_amplicon.txt	
Triturus carnifex	Triturus carnifex	evaluated	data/evaluated_species_34.txt	
Triturus cristatus	Triturus cristatus	evaluated	data/evaluated_species_34.txt	
Xenopus laevis	Xenopus laevis	evaluated	data/evaluated_species_34.txt	
