manifest_row	database_record_id	record_occurrence	taxon_label_in_database	record_source	public_accession	sequence_length_bp	retrieval_information	public_equivalent_accession	note
DB001	AB530454-Batra_Pelodytes_punctatus	1	Pelodytes punctatus	NCBI GenBank	AB530454	53	Retrieve from NCBI Nucleotide using the listed accession		
DB002	AB640897-Batra_Pelophylax_ridibundus	1	Pelophylax ridibundus	NCBI GenBank	AB640897	54	Retrieve from NCBI Nucleotide using the listed accession		
DB003	AB640910-Batra_Pelophylax_bedriagae	1	Pelophylax bedriagae	NCBI GenBank	AB640910	54	Retrieve from NCBI Nucleotide using the listed accession		
DB004	AB640915-Batra_Pelophylax_bedriagae	1	Pelophylax bedriagae	NCBI GenBank	AB640915	54	Retrieve from NCBI Nucleotide using the listed accession		
DB005	AB640927-Batra_Pelophylax_bedriagae	1	Pelophylax bedriagae	NCBI GenBank	AB640927	54	Retrieve from NCBI Nucleotide using the listed accession		
DB006	AY322321-Batra_Pelophylax_lessonae	1	Pelophylax lessonae	NCBI GenBank	AY322321	54	Retrieve from NCBI Nucleotide using the listed accession		
DB007	AY326063-Batra_Rana_temporaria	1	Rana temporaria	NCBI GenBank	AY326063	52	Retrieve from NCBI Nucleotide using the listed accession		
DB008	AY364342-Batra_Discoglossus_pictus	1	Discoglossus pictus	NCBI GenBank	AY364342	53	Retrieve from NCBI Nucleotide using the listed accession		
DB009	AY581641-Batra_Xenopus_laevis	1	Xenopus laevis	NCBI GenBank	AY581641	53	Retrieve from NCBI Nucleotide using the listed accession		
DB010	AY659992-Batra_Ambystoma_tigrinum	1	Ambystoma tigrinum	NCBI GenBank	AY659992	53	Retrieve from NCBI Nucleotide using the listed accession		
DB011	AY728215.1-Batra_Speleomantes_italicus	1	Speleomantes italicus	NCBI GenBank	AY728215.1	48	Retrieve from NCBI Nucleotide using the listed accession		
DB012	AY819370-Batra_Hyla_meridionalis	1	Hyla meridionalis	NCBI GenBank	AY819370	52	Retrieve from NCBI Nucleotide using the listed accession		
DB013	AY843601-Batra_Hyla_arborea	1	Hyla arborea	NCBI GenBank	AY843601	51	Retrieve from NCBI Nucleotide using the listed accession		
DB014	DQ055835-Batra_Hyla_arborea	1	Hyla arborea	NCBI GenBank	DQ055835	51	Retrieve from NCBI Nucleotide using the listed accession		
